cbsa_fips,cbsa,city_fips,city,peak_yr,peak_pop,decades_since_peak,pop_2010,decline_since_peak,age,dec_since_peak_nonzero
30620,"Lima, OH",3943554,Lima city,1970,53734,4,38771,0.27846428704358506,60,0.27846428704358506
30700,"Lincoln, NE",3128000,Lincoln city,2010,258379,0,258379,0,120,-1e-4
30780,"Little Rock-North Little Rock-Conway, AR",541000,Little Rock city,2010,193524,0,193524,0,90,-1e-4
30860,"Logan, UT-ID",4945860,Logan city,2010,48174,0,48174,0,0,-1e-4
30980,"Longview, TX",4843888,Longview city,2010,80455,0,80455,0,30,-1e-4
31020,"Longview, WA",5340245,Longview city,2010,36648,0,36648,0,0,-1e-4
31080,"Los Angeles-Long Beach-Anaheim, CA",644000,Los Angeles city,2010,3792621,0,3792621,0,120,-1e-4
31140,"Louisville/Jefferson County, KY-IN",2148006,Louisville city,2010,597337,0,597337,0,150,-1e-4
31180,"Lubbock, TX",4845000,Lubbock city,2010,229573,0,229573,0,60,-1e-4
31340,"Lynchburg, VA",5147672,Lynchburg city,2010,75568,0,75568,0,50,-1e-4
31420,"Macon, GA",1349000,Macon city,1970,122423,4,91351,0.2538085163735573,90,0.2538085163735573
31460,"Madera, CA",645022,Madera city,2010,61416,0,61416,0,0,-1e-4
31540,"Madison, WI",5548000,Madison city,2010,233209,0,233209,0,80,-1e-4
31700,"Manchester-Nashua, NH",3345140,Manchester city,2010,109565,0,109565,0,110,-1e-4
31740,"Manhattan, KS",2044250,Manhattan city,2010,52281,0,52281,0,0,-1e-4
31860,"Mankato-North Mankato, MN",2739878,Mankato city,2010,39309,0,39309,0,0,-1e-4
31900,"Mansfield, OH",3947138,Mansfield city,1970,55047,4,47821,0.13126964230566607,40,0.13126964230566607
32580,"McAllen-Edinburg-Mission, TX",4845384,McAllen city,2010,129877,0,129877,0,30,-1e-4
32780,"Medford, OR",4147000,Medford city,2010,74907,0,74907,0,10,-1e-4
32820,"Memphis, TN-MS-AR",4748000,Memphis city,2000,650100,1,646889,0.004939240116905092,120,0.004939240116905092
32900,"Merced, CA",646898,Merced city,2010,78958,0,78958,0,20,-1e-4
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1245000,Miami city,2010,399457,0,399457,0,80,-1e-4
33140,"Michigan City-La Porte, IN",1848798,Michigan City city,1970,39369,4,31479,0.20041149127486094,0,0.20041149127486094
33220,"Midland, MI",2653780,Midland city,2010,41863,0,41863,0,0,-1e-4
33260,"Midland, TX",4848072,Midland city,2010,111147,0,111147,0,50,-1e-4
33340,"Milwaukee-Waukesha-West Allis, WI",5553000,Milwaukee city,1960,741324,5,594833,0.19760725404816248,140,0.19760725404816248
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2743000,Minneapolis city,1950,521718,6,382578,0.2666958011799478,120,0.2666958011799478
33540,"Missoula, MT",3050200,Missoula city,2010,66788,0,66788,0,10,-1e-4
33660,"Mobile, AL",150000,Mobile city,1980,200452,3,195111,0.026644782790892583,100,0.026644782790892583
33700,"Modesto, CA",648354,Modesto city,2010,201165,0,201165,0,40,-1e-4
33740,"Monroe, LA",2251410,Monroe city,1980,57597,3,48815,0.15247321909127212,50,0.15247321909127212
33780,"Monroe, MI",2655020,Monroe city,1970,23894,4,20733,0.13229262576379008,0,0.13229262576379008
33860,"Montgomery, AL",151000,Montgomery city,2010,205764,0,205764,0,80,-1e-4
34060,"Morgantown, WV",5455756,Morgantown city,2010,29660,0,29660,0,0,-1e-4
34100,"Morristown, TN",4750280,Morristown city,2010,29137,0,29137,0,0,-1e-4
34580,"Mount Vernon-Anacortes, WA",5347560,Mount Vernon city,2010,31743,0,31743,0,0,-1e-4
34620,"Muncie, IN",1851876,Muncie city,1980,76460,3,70085,0.08337692911326183,60,0.08337692911326183
34740,"Muskegon, MI",2656320,Muskegon city,1950,48429,6,38401,0.2070660141650664,0,0.2070660141650664
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",4549075,Myrtle Beach city,2010,27109,0,27109,0,0,-1e-4
34900,"Napa, CA",650258,Napa city,2010,76915,0,76915,0,30,-1e-4
34940,"Naples-Immokalee-Marco Island, FL",1247625,Naples city,2000,20976,1,19537,0.0686022120518688,0,0.0686022120518688
