Rank,RO,ST,Locid,City,Airport Name,Svc Lvl,Hub,CY 05 Enplanements,LAT,LON
70,SW,TX,ELP,El Paso,El Paso International,P,S,1638242,114506.4000N,382954.9000W
71,SO,AL,BHM,Birmingham,Birmingham International,P,S,1595443,120830.0000N,312308.3000W
72,NM,WA,GEG,Spokane,Spokane International,P,S,1583737,171428.5000N,423126.8000W
73,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1581338,156831.7000N,418402.3000W
74,SW,OK,TUL,Tulsa,Tulsa International,P,S,1563622,130314.2000N,345197.2000W
75,EA,NY,ALB,Albany,Albany International,P,S,1533301,153896.8000N,265687.1000W
76,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1481659,121744.5470N,425346.8060W
77,EA,VA,RIC,Highland Springs,Richmond International,P,S,1452066,135018.6520N,278351.0590W
78,EA,NY,ROC,Rochester,Greater Rochester International,P,S,1450181,155228.9170N,279618.7280W
79,WP,GU,GUM,Agana,Guam International,P,S,1420751,048542.2224N,521269.6576E
80,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,1355639,071059.5570N,561764.2730W
81,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,1310034,129964.7731N,287788.0444W
82,SW,AR,LIT,Little Rock,Adams Field,P,S,1265098,125026.0000N,332009.2000W
83,WP,HI,LIH,Lihue,Lihue,P,S,1257848,079113.5383N,573620.2478W
84,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,1222657,155200.3000N,273982.7000W
85,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,1220130,143648.1000N,303189.9000W
86,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,1072182,118435.1000N,288145.9000W
87,EA,NY,ISP,Islip,Long Island MacArthur,P,S,1055832,146866.0885N,263162.3942W
88,GL,MI,GRR,Grand Rapids,Gerald R. Ford International,P,S,1041967,154371.0000N,307882.1000W
89,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,1032676,115659.3000N,292327.7000W
90,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,1025481,139700.9270N,376922.7890W
91,CE,IA,DSM,Des Moines,Des Moines International,P,S,922099,149522.3000N,337187.1000W
92,SO,TN,TYS,Maryville,McGhee Tyson,P,S,904004,128913.7459N,302383.1572W
93,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,893397,125624.4160N,295987.8940W
94,SO,FL,PNS,Pensacola,Pensacola Regional,P,S,815157,109704.3000N,313871.8000W
