cbsa_fips,name,clusterz_5,clusterz_13,clusterz_11,clusterz_8,clusterm_5,clusterm_13,clusterm_11,clusterm_8
18580,"Corpus Christi, TX",1,1,1,1,1,1,1,1
18700,"Corvallis, OR",3,8,7,4,1,1,1,1
18880,"Crestview-Fort Walton Beach-Destin, FL",1,1,1,1,1,1,1,1
19060,"Cumberland, MD-WV",2,7,2,2,1,2,2,2
19100,"Dallas-Fort Worth-Arlington, TX",3,5,5,4,2,6,6,3
19140,"Dalton, GA",1,3,3,1,1,3,3,1
19180,"Danville, IL",2,7,2,2,1,2,2,2
19340,"Davenport-Moline-Rock Island, IA-IL",2,6,6,3,1,1,1,1
19380,"Dayton, OH",2,2,2,2,1,2,2,2
19460,"Decatur, AL",1,3,3,1,1,3,3,1
19500,"Decatur, IL",2,7,2,2,1,2,2,2
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1,10,9,6,1,8,3,1
19740,"Denver-Aurora-Lakewood, CO",3,5,5,4,2,6,6,3
19780,"Des Moines-West Des Moines, IA",2,6,6,3,1,1,1,1
